phage,bacterium,key_gene_output,wgs_output,phage_key_gene_num,host_key_gene_num
MG711460,GL538315,0.07480376,0.53434676,2,52
MG711460,NC_003911,1.0,0.5843127,2,628
MG711460,NC_017731,2.2830218e-06,0.0004455313,2,712
MG711460,NC_021020,0.0002455263,0.50846696,2,483
MG711460,NC_021042,0.00022782556,0.5124053,2,518
MG711460,NZ_CP029736,1.4664142e-05,0.0002843116,2,752
MG711460,NZ_DS483503,0.0016327905,0.51815987,2,179
MG711460,NZ_GG697149,0.0005778475,0.5149853,2,120
MG711461,GL538315,0.10173354,0.53666574,8,52
MG711461,NC_003911,0.99999976,0.5643215,8,628
MG711461,NC_017731,8.237146e-05,0.00039955767,8,712
MG711461,NC_021020,0.4235304,0.5175436,8,483
MG711461,NC_021042,0.30358207,0.51896995,8,518
MG711461,NZ_CP029736,0.0004884122,0.00038198975,8,752
MG711461,NZ_DS483503,0.03350358,0.52297163,8,179
MG711461,NZ_GG697149,0.3010997,0.5206954,8,120
MG711462,GL538315,0.024770062,0.53974336,4,52
MG711462,NC_003911,0.9999999,0.5919082,4,628
MG711462,NC_017731,6.7310257e-06,0.00011955809,4,712
MG711462,NC_021020,0.0005593627,0.50644076,4,483
MG711462,NC_021042,0.0005525874,0.51078635,4,518
MG711462,NZ_CP029736,4.8794598e-05,7.9645964e-05,4,752
MG711462,NZ_DS483503,0.003244947,0.51776946,4,179
MG711462,NZ_GG697149,0.0012862233,0.5141474,4,120
MG711464,GL538315,0.8162391,0.55459005,5,52
MG711464,NC_003911,0.9998122,0.5925603,5,628
MG711464,NC_017731,0.00018365635,0.006104316,5,712
MG711464,NC_021020,0.07972394,0.53645307,5,483
MG711464,NC_021042,0.05578621,0.5375164,5,518
MG711464,NZ_CP029736,0.0017976306,0.003533842,5,752
MG711464,NZ_DS483503,0.057013433,0.54063517,5,179
MG711464,NZ_GG697149,0.0928451,0.53875935,5,120
MG711466,GL538315,0.9969963,0.5572751,3,52
MG711466,NC_003911,0.99717903,0.5839918,3,628
MG711466,NC_017731,0.016821451,0.0006372492,3,712
MG711466,NC_021020,0.9999448,0.5373716,3,483
MG711466,NC_021042,0.9999428,0.5382546,3,518
MG711466,NZ_CP029736,0.99741554,0.0003572074,3,752
MG711466,NZ_DS483503,0.9914956,0.54292923,3,179
MG711466,NZ_GG697149,0.99995553,0.54169554,3,120
MG711467,GL538315,0.0017796024,0.56166184,7,52
MG711467,NC_003911,1.0,0.6017335,7,628
MG711467,NC_017731,4.034167e-06,0.0007711778,7,712
MG711467,NC_021020,0.00033392757,0.5398372,7,483
MG711467,NC_021042,0.00034625328,0.54081815,7,518
MG711467,NZ_CP029736,2.64689e-05,0.00043241336,7,752
MG711467,NZ_DS483503,0.0007244249,0.5453973,7,179
MG711467,NZ_GG697149,0.0003786249,0.5429224,7,120
NC_052969,GL538315,0.021238856,0.55000794,5,52
NC_052969,NC_003911,0.9999994,0.61750245,5,628
NC_052969,NC_017731,5.5622433e-05,0.00053119974,5,712
NC_052969,NC_021020,0.0019262882,0.51154625,5,483
NC_052969,NC_021042,0.0018966728,0.5172166,5,518
NC_052969,NZ_CP029736,0.000403411,0.0001997636,5,752
NC_052969,NZ_DS483503,0.008134513,0.5241272,5,179
NC_052969,NZ_GG697149,0.002451508,0.5218166,5,120
NC_052979,GL538315,0.055113394,0.5228307,4,52
NC_052979,NC_003911,0.0040578707,0.5297441,4,628
NC_052979,NC_017731,6.385757e-05,0.018644324,4,712
NC_052979,NC_021020,0.015337512,0.52454144,4,483
NC_052979,NC_021042,0.019424925,0.5188668,4,518
NC_052979,NZ_CP029736,0.0005124049,0.018808972,4,752
NC_052979,NZ_DS483503,0.035242055,0.5192603,4,179
NC_052979,NZ_GG697149,0.020697987,0.52021646,4,120
NC_053009,GL538315,0.42909807,0.50688136,3,52
NC_053009,NC_003911,0.99933916,0.5098328,3,628
NC_053009,NC_017731,0.9945363,0.049975693,3,712
NC_053009,NC_021020,0.9992822,0.5074944,3,483
NC_053009,NC_021042,0.99926883,0.4715909,3,518
NC_053009,NZ_CP029736,0.99960595,0.060520694,3,752
NC_053009,NZ_DS483503,0.9164976,0.48718944,3,179
NC_053009,NZ_GG697149,0.99921703,0.49987474,3,120
