phage,host,phage_name,host_name
NC_026583,CP027541,"Mycobacterium phage Alvin, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
NC_026584,CP027541,"Mycobacterium phage Minerva, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
NC_026585,CP027541,"Mycobacteriophage Estave1, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
NC_026588,CP027541,"Mycobacterium phage Squirty, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
NC_026589,CP027541,"Mycobacterium phage Sbash, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
NC_011269,CP027541,"Mycobacterium phage ScottMcG, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MK450423,CP027541,"Mycobacterium phage Stubby, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MK450422,CP027541,"Mycobacterium phage RoMag, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MK524503,CP027541,"Mycobacterium phage Fancypants, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MK450427,CP027541,"Mycobacterium phage Adlitam, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
NC_004066,NZ_CM007353,"Lactococcus phage ul36, complete genome","Lactococcus lactis subsp. cremoris IBB477 chromosome, whole genome shotgun sequence"
MK450425,CP027541,"Mycobacterium phage Shelob, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MK450424,CP027541,"Mycobacterium phage Melpomini, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MH590593,CP027541,"Mycobacterium phage Rabinovish, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MK450429,CP027541,"Mycobacterium phage Bipolarisk, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MH590592,CP027541,"Mycobacterium phage Ryadel, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
NC_027987,AP017936,"Leuconostoc phage 1-A4, complete genome","Leuconostoc mesenteroides DNA, complete genome, strain: LK-151"
KY549153,QUAI01000001,"Rhodococcus phage AngryOrchard, complete genome","Rhodococcus erythropolis strain ATCC 15903 DVG80_1, whole genome shotgun sequence"
MK524506,CP027541,"Mycobacterium phage Zeuska, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
NC_005822,NZ_CM007353,"Lactococcus phage phiLC3, complete genome","Lactococcus lactis subsp. cremoris IBB477 chromosome, whole genome shotgun sequence"
MH590590,CP019892,"Microbacterium phage Schnapsidee, complete genome",Microbacterium foliorum strain 122 genome
MF541405,NZ_OCQN01000001,"Streptomyces phage Celeste, complete genome","Streptomyces sp. OK228, whole genome shotgun sequence"
